date,shape_variant_id,exception_type
2013-10-11,100028,
2013-10-11,100029,
2013-10-11,100030,
2013-10-11,100031,
2013-10-11,100068,
2013-10-11,100069,
2013-10-11,100070,
2013-10-11,100116,
2013-10-11,100119,
2013-10-11,100120,
2013-10-11,100121,
2013-10-11,100122,
2013-10-11,100123,
2013-10-11,100124,
2013-10-11,100125,
2013-10-11,100126,
2013-10-11,100166,
2013-10-11,100167,
2013-10-11,100211,
2013-10-11,100216,
2013-10-11,100217,
2013-10-11,100218,
2013-10-11,100219,
2013-10-11,100235,
2013-10-11,100236,
2013-10-11,100237,
2013-10-11,100244,
2013-10-11,100245,
2013-10-11,100246,
2013-10-11,100247,
2013-10-11,100248,
2013-10-11,100257,
2013-10-11,100258,
2013-10-11,100276,
2013-10-11,100277,
2013-10-11,100278,
2013-10-11,100279,
2013-10-11,100282,
2013-10-11,100283,
2013-10-11,100284,
2013-10-11,100285,
2013-10-11,100286,
2013-10-11,100287,
2013-10-11,100288,
2013-10-11,100307,
2013-10-11,100308,
2013-10-11,100318,
2013-10-11,100319,
2013-10-11,100320,
2013-10-11,100321,
2013-10-11,100322,
2013-10-11,100326,
2013-10-11,100327,
2013-10-11,100328,
2013-10-11,100329,
2013-10-11,100341,
2013-10-11,100342,
2013-10-11,100343,
2013-10-11,100344,
2013-10-11,100388,
2013-10-11,100392,
2013-10-11,100399,
2013-10-11,100417,
2013-10-11,100459,
2013-10-11,100460,
2013-10-11,100464,
2013-10-11,100518,
2013-10-11,100519,
2013-10-11,100520,
2013-10-11,100521,
2013-10-11,100522,
2013-10-11,100523,
2013-10-11,100524,
2013-10-11,100525,
2013-10-11,100526,
2013-10-11,100527,
2013-10-11,100528,
2013-10-11,100529,
2013-10-11,100530,
2013-10-11,100531,
2013-10-11,100532,
2013-10-11,100533,
2013-10-11,100534,
2013-10-11,100539,
2013-10-11,100540,
2013-10-11,100541,
2013-10-11,100549,
2013-10-11,100550,
2013-10-11,100551,
2013-10-11,100552,
2013-10-11,100553,
2013-10-11,100554,
2013-10-11,100555,
2013-10-11,100565,
2013-10-11,100566,
2013-10-11,100567,
2013-10-11,100568,
2013-10-11,100569,
2013-10-11,100570,
2013-10-11,100571,
2013-10-11,100572,
2013-10-11,100604,
2013-10-11,100605,
2013-10-11,100613,
2013-10-11,100614,
2013-10-11,100615,
2013-10-11,100616,
2013-10-11,100617,
2013-10-11,100618,
2013-10-11,100637,
2013-10-11,100638,
2013-10-11,100649,
2013-10-11,100651,
2013-10-11,100659,
2013-10-11,100660,
2013-10-11,100661,
2013-10-11,100679,
2013-10-11,100681,
2013-10-11,100699,
2013-10-11,100700,
2013-10-11,100701,
2013-10-11,100708,
2013-10-11,100709,
2013-10-11,100750,
2013-10-11,100752,
2013-10-11,100754,
2013-10-11,100755,
2013-10-11,100756,
2013-10-11,100757,
2013-10-11,100758,
2013-10-11,100759,
2013-10-11,100760,
2013-10-11,100761,
2013-10-11,100762,
2013-10-11,100763,
2013-10-11,100764,
2013-10-11,100765,
2013-10-11,100766,
2013-10-11,100767,
2013-10-11,100768,
2013-10-11,100794,
2013-10-11,100795,
2013-10-11,100796,
2013-10-11,100797,
2013-10-11,100798,
2013-10-11,100799,
2013-10-11,100826,
2013-10-11,100827,
2013-10-11,100847,
2013-10-11,100861,
2013-10-11,100862,
2013-10-11,100899,
2013-10-11,100900,
2013-10-11,100901,
2013-10-11,100913,
2013-10-11,100917,
2013-10-11,100923,
2013-10-11,100926,
2013-10-11,100970,
2013-10-11,100971,
2013-10-11,100972,
2013-10-11,100973,
2013-10-11,100974,
2013-10-11,100975,
2013-10-11,100976,
2013-10-11,100977,
2013-10-11,100978,
2013-10-11,100979,
2013-10-11,100980,
2013-10-11,100981,
2013-10-11,100982,
2013-10-11,100983,
2013-10-11,100984,
2013-10-11,100985,
2013-10-11,100986,
2013-10-11,101019,
2013-10-11,101020,
2013-10-11,101021,
2013-10-11,101022,
2013-10-11,101023,
2013-10-11,101024,
2013-10-11,101025,
2013-10-11,101043,
2013-10-11,101044,
2013-10-11,101045,
2013-10-11,101046,
2013-10-11,101047,
2013-10-11,101048,
2013-10-11,101049,
2013-10-11,101050,
2013-10-11,101115,
2013-10-11,101116,
2013-10-11,101117,
2013-10-11,101118,
2013-10-11,101119,
2013-10-11,101120,
2013-10-11,101130,
2013-10-11,101131,
2013-10-11,101132,
2013-10-11,101133,
2013-10-11,101134,
2013-10-11,101135,
2013-10-11,101136,
2013-10-11,101137,
2013-10-11,101138,
2013-10-11,101139,
2013-10-11,101140,
2013-10-11,101141,
2013-10-11,101142,
2013-10-11,101143,
2013-10-11,101144,
2013-10-11,101256,
2013-10-11,101257,
2013-10-11,101258,
2013-10-11,101273,
2013-10-11,101274,
2013-10-11,101275,
2013-10-11,101292,
2013-10-11,101293,
2013-10-11,101294,
2013-10-11,101295,
2013-10-11,101296,
2013-10-11,101297,
2013-10-11,101367,
2013-10-11,101368,
2013-10-11,101369,
2013-10-11,101384,
2013-10-11,101385,
2013-10-11,101386,
2013-10-11,101403,
2013-10-11,101404,
2013-10-11,101405,
2013-10-11,101406,
2013-10-11,101407,
2013-10-11,101408,
2013-10-11,101478,
2013-10-11,101479,
2013-10-11,101480,
2013-10-11,101495,
2013-10-11,101496,
2013-10-11,101497,
2013-10-11,101514,
2013-10-11,101515,
2013-10-11,101516,
2013-10-11,101517,
2013-10-11,101518,
2013-10-11,101519,
2013-10-11,101589,
2013-10-11,101590,
2013-10-11,101591,
2013-10-11,101606,
2013-10-11,101607,
2013-10-11,101608,
2013-10-11,101625,
2013-10-11,101626,
2013-10-11,101627,
2013-10-11,101628,
2013-10-11,101629,
2013-10-11,101630,
2013-10-11,101700,
2013-10-11,101701,
2013-10-11,101702,
2013-10-11,101717,
2013-10-11,101718,
2013-10-11,101719,
2013-10-11,101736,
2013-10-11,101737,
2013-10-11,101738,
2013-10-11,101739,
2013-10-11,101740,
2013-10-11,101741,
2013-10-11,101811,
2013-10-11,101812,
2013-10-11,101813,
2013-10-11,101828,
2013-10-11,101829,
2013-10-11,101830,
2013-10-11,101847,
2013-10-11,101848,
2013-10-11,101849,
2013-10-11,101850,
2013-10-11,101851,
2013-10-11,101852,
2013-10-11,101922,
2013-10-11,101923,
2013-10-11,101924,
2013-10-11,101939,
2013-10-11,101940,
2013-10-11,101941,
2013-10-11,101958,
2013-10-11,101959,
2013-10-11,101960,
2013-10-11,101961,
2013-10-11,101962,
2013-10-11,101963,
2013-10-11,102033,
2013-10-11,102034,
2013-10-11,102035,
2013-10-11,102050,
2013-10-11,102051,
2013-10-11,102052,
2013-10-11,102069,
2013-10-11,102070,
2013-10-11,102071,
2013-10-11,102072,
2013-10-11,102073,
2013-10-11,102074,
2013-10-11,102144,
2013-10-11,102145,
2013-10-11,102146,
2013-10-11,102161,
2013-10-11,102162,
2013-10-11,102163,
2013-10-11,102180,
2013-10-11,102181,
2013-10-11,102182,
2013-10-11,102183,
2013-10-11,102184,
2013-10-11,102185,
2013-10-11,102255,
2013-10-11,102256,
2013-10-11,102257,
2013-10-11,102272,
2013-10-11,102273,
2013-10-11,102274,
2013-10-11,102291,
2013-10-11,102292,
2013-10-11,102293,
2013-10-11,102294,
2013-10-11,102295,
2013-10-11,102296,
2013-10-11,102366,
2013-10-11,102367,
2013-10-11,102368,
2013-10-11,102383,
2013-10-11,102384,
2013-10-11,102385,
2013-10-11,102402,
2013-10-11,102403,
2013-10-11,102404,
2013-10-11,102405,
2013-10-11,102406,
2013-10-11,102407,
2013-10-12,100006,
2013-10-12,100007,
2013-10-12,100017,
2013-10-12,100018,
2013-10-12,100035,
2013-10-12,100036,
2013-10-12,100041,
2013-10-12,100042,
2013-10-12,100043,
2013-10-12,100044,
2013-10-12,100063,
2013-10-12,100064,
2013-10-12,100071,
2013-10-12,100073,
2013-10-12,100075,
2013-10-12,100076,
2013-10-12,100079,
2013-10-12,100080,
2013-10-12,100081,
2013-10-12,100082,
2013-10-12,100092,
2013-10-12,100096,
2013-10-12,100103,
2013-10-12,100104,
2013-10-12,100105,
2013-10-12,100106,
2013-10-12,100107,
2013-10-12,100108,
2013-10-12,100109,
2013-10-12,100110,
2013-10-12,100137,
2013-10-12,100138,
2013-10-12,100139,
2013-10-12,100140,
2013-10-12,100141,
2013-10-12,100147,
2013-10-12,100148,
2013-10-12,100149,
2013-10-12,100150,
2013-10-12,100151,
2013-10-12,100152,
2013-10-12,100153,
2013-10-12,100154,
2013-10-12,100155,
2013-10-12,100156,
2013-10-12,100157,
2013-10-12,100158,
2013-10-12,100159,
2013-10-12,100160,
2013-10-12,100161,
2013-10-12,100162,
2013-10-12,100163,
2013-10-12,100164,
2013-10-12,100190,
2013-10-12,100191,
2013-10-12,100192,
2013-10-12,100193,
2013-10-12,100200,
2013-10-12,100201,
2013-10-12,100212,
2013-10-12,100213,
2013-10-12,100214,
2013-10-12,100215,
2013-10-12,100263,
2013-10-12,100264,
2013-10-12,100265,
2013-10-12,100266,
2013-10-12,100267,
2013-10-12,100289,
2013-10-12,100290,
2013-10-12,100291,
2013-10-12,100293,
2013-10-12,100294,
2013-10-12,100305,
2013-10-12,100306,
2013-10-12,100309,
2013-10-12,100310,
2013-10-12,100311,
2013-10-12,100312,
2013-10-12,100313,
2013-10-12,100323,
2013-10-12,100324,
2013-10-12,100325,
2013-10-12,100336,
2013-10-12,100337,
2013-10-12,100338,
2013-10-12,100339,
2013-10-12,100340,
2013-10-12,100386,
2013-10-12,100387,
2013-10-12,100394,
2013-10-12,100395,
2013-10-12,100404,
2013-10-12,100405,
2013-10-12,100406,
2013-10-12,100407,
2013-10-12,100412,
2013-10-12,100413,
2013-10-12,100414,
2013-10-12,100415,
2013-10-12,100420,
2013-10-12,100421,
2013-10-12,100422,
2013-10-12,100432,
2013-10-12,100434,
2013-10-12,100443,
2013-10-12,100451,
2013-10-12,100454,
2013-10-12,100461,
2013-10-12,100462,
2013-10-12,100463,
2013-10-12,100465,
2013-10-12,100466,
2013-10-12,100467,
2013-10-12,100468,
2013-10-12,100496,
2013-10-12,100535,
2013-10-12,100536,
2013-10-12,100537,
2013-10-12,100538,
2013-10-12,100579,
2013-10-12,100580,
2013-10-12,100581,
2013-10-12,100582,
2013-10-12,100599,
2013-10-12,100600,
2013-10-12,100603,
2013-10-12,100606,
2013-10-12,100607,
2013-10-12,100608,
2013-10-12,100609,
2013-10-12,100628,
2013-10-12,100629,
2013-10-12,100630,
2013-10-12,100631,
2013-10-12,100632,
2013-10-12,100643,
2013-10-12,100644,
2013-10-12,100645,
2013-10-12,100646,
2013-10-12,100647,
2013-10-12,100648,
2013-10-12,100662,
2013-10-12,100664,
2013-10-12,100676,
2013-10-12,100677,
2013-10-12,100678,
2013-10-12,100680,
2013-10-12,100682,
2013-10-12,100710,
2013-10-12,100711,
2013-10-12,100712,
2013-10-12,100713,
2013-10-12,100714,
2013-10-12,100715,
2013-10-12,100724,
2013-10-12,100744,
2013-10-12,100751,
2013-10-12,100792,
2013-10-12,100808,
2013-10-12,100809,
2013-10-12,100819,
2013-10-12,100820,
2013-10-12,100828,
2013-10-12,100829,
2013-10-12,100830,
2013-10-12,100836,
2013-10-12,100837,
2013-10-12,100838,
2013-10-12,100850,
2013-10-12,100851,
2013-10-12,100852,
2013-10-12,100853,
2013-10-12,100854,
2013-10-12,100855,
2013-10-12,100856,
2013-10-12,100863,
2013-10-12,100864,
2013-10-12,100865,
2013-10-12,100866,
2013-10-12,100867,
2013-10-12,100872,
2013-10-12,100873,
2013-10-12,100877,
2013-10-12,100878,
2013-10-12,100914,
2013-10-12,100915,
2013-10-12,100916,
2013-10-12,100918,
2013-10-12,100919,
2013-10-12,100921,
2013-10-12,100922,
2013-10-12,100924,
2013-10-12,100925,
2013-10-12,100927,
2013-10-12,100928,
2013-10-12,100929,
2013-10-12,100930,
2013-10-12,100938,
2013-10-12,100939,
2013-10-12,100940,
2013-10-12,100949,
2013-10-12,100955,
2013-10-12,100987,
2013-10-12,100988,
2013-10-12,100989,
2013-10-12,100990,
2013-10-12,100991,
2013-10-12,100992,
2013-10-12,100993,
2013-10-12,101013,
2013-10-12,101014,
2013-10-12,101015,
2013-10-12,101016,
2013-10-12,101017,
2013-10-12,101018,
2013-10-12,101121,
2013-10-12,101122,
2013-10-12,101123,
2013-10-12,101124,
2013-10-12,101125,
2013-10-12,101126,
2013-10-12,101127,
2013-10-12,101136,
2013-10-12,101137,
2013-10-12,101270,
2013-10-12,101276,
2013-10-12,101277,
2013-10-12,101278,
2013-10-12,101287,
2013-10-12,101381,
2013-10-12,101387,
2013-10-12,101388,
2013-10-12,101389,
2013-10-12,101398,
2013-10-12,101492,
2013-10-12,101498,
2013-10-12,101499,
2013-10-12,101500,
2013-10-12,101509,
2013-10-12,101603,
2013-10-12,101609,
2013-10-12,101610,
2013-10-12,101611,
2013-10-12,101620,
2013-10-12,101714,
2013-10-12,101720,
2013-10-12,101721,
2013-10-12,101722,
2013-10-12,101731,
2013-10-12,101825,
2013-10-12,101831,
2013-10-12,101832,
2013-10-12,101833,
2013-10-12,101842,
2013-10-12,101936,
2013-10-12,101942,
2013-10-12,101943,
2013-10-12,101944,
