route_id,main_shape_id,trip_headsign,direction_id,route_desc,valid_from,valid_to,parent_version_id,note,version_id
0221,R309,"Budakeszi, Dózsa György tér",0,"Széll Kálmán tér M / Budakeszi, Dózsa György tér",2013-10-11,,,,100049
0221,R308,Széll Kálmán tér M,1,"Széll Kálmán tér M / Budakeszi, Dózsa György tér",2013-10-17,,,,100050
0230,K001,"Pesterzsébet, Ady Endre tér",0,"Boráros tér H / Pesterzsébet, Ady Endre tér",2013-10-14,,,,100051
0230,K000,Boráros tér H,1,"Boráros tér H / Pesterzsébet, Ady Endre tér",2013-10-14,,,,100052
0235,U251,"Pesterzsébet, Ady Endre tér",0,"Boráros tér H / Pesterzsébet, Ady Endre tér",2013-10-11,,,,100053
0235,U252,Boráros tér H,1,"Boráros tér H / Pesterzsébet, Ady Endre tér",2013-10-11,,,,100054
0250,U542,Újpest-Központ M,0,Mexikói út M / Újpest-Központ M,2013-10-11,2013-12-05,,,100055
0250,N023,Mexikói út M,1,Mexikói út M / Újpest-Központ M,2013-10-11,2013-12-05,,,100056
0260,X203,Árpád híd M,0,Nyugati pályaudvar M / Árpád híd M,2013-10-12,2013-12-22,,,100057
0260,X202,Nyugati pályaudvar M,1,Nyugati pályaudvar M / Árpád híd M,2013-10-12,2013-12-08,,,100058
0270,0576,Móricz Zsigmond körtér,0,Sánc utca / Móricz Zsigmond körtér,2013-10-11,2014-04-06,,,100059
0270,0575,Sánc utca,1,Sánc utca / Móricz Zsigmond körtér,2013-10-11,2014-10-09,,,100060
0290,U277,Hűvösvölgy,0,Szentlélek tér H / Hűvösvölgy,2013-10-11,2014-08-31,,,100061
0290,U006,Szentlélek tér H,1,Szentlélek tér H / Hűvösvölgy,2013-10-11,2014-08-31,,,100062
0300,W486,"Káposztásmegyer, Mogyoródi-patak",0,"Keleti pályaudvar M / Káposztásmegyer, Mogyoródi-patak",2013-10-11,2013-12-08,,,100063
0300,W485,Keleti pályaudvar M,1,"Keleti pályaudvar M / Káposztásmegyer, Mogyoródi-patak",2013-10-11,2013-12-08,,,100064
0301,W487,"Megyer, Szondi utca",0,"Keleti pályaudvar M / Megyer, Szondi utca",2013-10-11,2013-12-08,,,100065
0301,W488,Keleti pályaudvar M,1,"Keleti pályaudvar M / Megyer, Szondi utca",2013-10-11,2013-12-08,,,100066
0310,C595,"Árpádföld, Bekecs utca",0,"Örs vezér tere M+H / Árpádföld, Bekecs utca",2013-10-11,,,,100067
0310,C597,Örs vezér tere M+H,1,"Örs vezér tere M+H / Árpádföld, Bekecs utca",2013-10-11,,,,100068
0320,H302,Örs vezér tere M+H,0,Árpád híd M / Örs vezér tere M+H,2013-10-11,2014-06-29,,,100069
0320,E322,Árpád híd M,1,Árpád híd M / Örs vezér tere M+H,2013-10-11,2014-06-29,,,100070
0330,U527,"Nagytétény, ipartelep",0,"Móricz Zsigmond körtér / Nagytétény, ipartelep",2013-10-11,2014-04-04,,,100071
0330,U528,Móricz Zsigmond körtér,1,"Móricz Zsigmond körtér / Nagytétény, ipartelep",2013-10-11,2014-04-04,,,100072
0340,X382,"Békásmegyer, Újmegyeri tér",0,"Árpád híd M / Békásmegyer, Újmegyeri tér",2013-10-11,2013-12-22,,,100073
0340,X381,Árpád híd M,1,"Árpád híd M / Békásmegyer, Újmegyeri tér",2013-10-11,2013-12-22,,,100074
0350,U719,Szentlőrinci úti lakótelep,0,"Csepel, Csillagtelep / Szentlőrinci úti lakótelep",2013-10-11,2014-11-06,,,100075
0350,U720,"Csepel, Csillagtelep",1,"Csepel, Csillagtelep / Szentlőrinci úti lakótelep",2013-10-11,2014-11-06,,,100076
0360,N743,Pestszentlőrinc vasútállomás,0,"Csepel, Csillagtelep / Pestszentlőrinc vasútállomás",2013-10-11,2014-11-06,,,100077
0360,N742,"Csepel, Csillagtelep",1,"Csepel, Csillagtelep / Pestszentlőrinc vasútállomás",2013-10-11,2014-11-06,,,100078
0380,E757,"Lakihegy, Cseresznyés utca",0,"Csepel, Szent Imre tér / Lakihegy, Cseresznyés utca",2013-10-11,2014-08-31,,,100079
0380,E758,"Csepel, Szent Imre tér",1,"Csepel, Szent Imre tér / Lakihegy, Cseresznyés utca",2013-10-11,2014-08-31,,,100080
0390,0781,Goldmark Károly utca,0,Batthyány tér M+H / Goldmark Károly utca,2013-10-11,2014-11-06,,,100081
0390,4100,Batthyány tér M+H,1,Batthyány tér M+H / Goldmark Károly utca,2013-10-11,2014-11-06,,,100082
0400,0583,Budaörsi lakótelep,0,Móricz Zsigmond körtér / Budaörsi lakótelep,2013-10-11,2014-03-30,,,100083
0400,0584,Móricz Zsigmond körtér,1,Móricz Zsigmond körtér / Budaörsi lakótelep,2013-10-11,2014-03-30,,,100084
0405,6137,"Budaörs, Patkó utca",0,"Móricz Zsigmond körtér / Budaörs, Patkó utca",2013-10-11,2014-04-06,,,100085
0405,6138,Móricz Zsigmond körtér,1,"Móricz Zsigmond körtér / Budaörs, Patkó utca",2013-10-11,,,,100086
0440,G140,Budapesti út,0,Örs vezér tere M+H / Budapesti út,2013-10-11,,,,100087
0440,G139,Örs vezér tere M+H,1,Örs vezér tere M+H / Budapesti út,2013-10-11,2013-10-17,,,100088
0450,A066,"Cinkota, Lassú utca",0,"Örs vezér tere M+H / Cinkota, Lassú utca",2013-10-11,,,,100089
0450,A067,Örs vezér tere M+H,1,"Örs vezér tere M+H / Cinkota, Lassú utca",2013-10-11,,,,100090
0460,T413,"Városközpont, Posta",0,"Újpalota, Nyírpalota út / Rákoskeresztúr, városközpont",2013-10-11,2014-11-16,,,100091
0460,L997,"Újpalota, Nyírpalota út",1,"Újpalota, Nyírpalota út / Rákoskeresztúr, városközpont",2013-10-11,2013-11-07,,,100092
0530,C569,Mindszenty József bíboros tér,0,Újbuda-központ / Mindszenty József bíboros tér,2013-10-11,2014-03-30,,,100093
0530,C570,Újbuda-központ,1,Újbuda-központ / Mindszenty József bíboros tér,2013-10-11,2014-03-30,,,100094
0540,M125,"Pestszentimre, Ültetvény utca",0,"Boráros tér H / Pestszentimre, Ültetvény utca",2013-10-11,2014-03-23,,,100095
0540,M128,Boráros tér H,1,"Boráros tér H / Pestszentimre, Ültetvény utca",2013-10-12,2014-05-25,,,100096
0550,M129,"Gyál, Vecsési út",0,"Boráros tér H / Gyál, Vecsési út",2013-10-11,2014-05-29,,,100097
0550,M130,Boráros tér H,1,"Boráros tér H / Gyál, Vecsési út",2013-10-11,2014-05-29,,,100098
0570,2375,Hűvösvölgy,0,Hűvösvölgy / Hűvösvölgy,2013-10-11,2014-02-06,,,100099
0580,H320,Balatoni út (Háros utca),0,Savoya Park / Balatoni út (Háros utca),2013-10-11,2014-04-06,,,100100
0580,U741,Savoya Park,1,Savoya Park / Balatoni út (Háros utca),2013-10-11,2014-04-06,,,100101
0630,N016,"Nagykovácsi, Tisza István tér",0,"Hűvösvölgy / Nagykovácsi, Tisza István tér",2013-10-11,2014-02-06,,,100102
0630,N017,Hűvösvölgy,1,"Hűvösvölgy / Nagykovácsi, Tisza István tér",2013-10-11,2014-02-06,,,100103
0640,R803,"Solymár, Auchan áruház",0,"Hűvösvölgy / Solymár, Auchan áruház",2013-10-12,2014-01-31,,,100104
0640,R804,Hűvösvölgy,1,"Hűvösvölgy / Solymár, Auchan áruház",2013-10-12,2014-01-31,,,100105
0641,R797,"Solymár, Templom tér",0,"Hűvösvölgy / Solymár, Templom tér",2013-10-27,2014-02-06,,,100106
0641,R798,Hűvösvölgy,1,"Hűvösvölgy / Solymár, Templom tér",2013-10-11,2014-02-06,,,100107
0650,Q547,Fenyőgyöngye,0,Kolosy tér / Fenyőgyöngye,2013-10-12,2014-10-02,,,100108
0650,Q546,Kolosy tér,1,Kolosy tér / Fenyőgyöngye,2013-10-12,2014-10-02,,,100109
0660,J520,"Soroksár, központi raktárak",0,"Határ út M / Soroksár, központi raktárak",2013-10-12,2014-05-30,,,100110
0660,J523,Határ út M,1,"Határ út M / Soroksár, központi raktárak",2013-10-12,2014-05-30,,,100111
0665,M760,"Soroksár, BILK",0,"Határ út M / Soroksár, BILK",2013-10-11,2013-10-17,,,100112
0665,M763,Határ út M,1,"Határ út M / Soroksár, BILK",2013-10-17,2013-11-21,,,100113
0670,A114,"Rákoskeresztúr, Aranylúd utca",0,"Örs vezér tere M+H / Rákoskeresztúr, Aranylúd utca",2013-10-11,,,,100114
0670,A115,Örs vezér tere M+H,1,"Örs vezér tere M+H / Rákoskeresztúr, Aranylúd utca",2013-10-11,,,,100115
0680,0266,"Akadémiaújtelep, 525. tér",0,"Kispest, Vas Gereben utca / Akadémiaújtelep, 525. tér",2013-10-11,,,,100116
0680,A139,"Kispest, Vas Gereben utca",1,"Kispest, Vas Gereben utca / Akadémiaújtelep, 525. tér",2013-10-11,,,,100117
0710,U486,"Csepel, Horgásztanya",0,"Csepel, Szent Imre tér / Csepel, Horgásztanya",2013-10-11,2014-11-06,,,100118
0710,U487,"Csepel, Szent Imre tér",1,"Csepel, Szent Imre tér / Csepel, Horgásztanya",2013-10-11,2014-11-06,,,100119
0845,G371,"Gyál, Deák Ferenc utca",0,"Határ út M / Gyál, Deák Ferenc utca",2013-10-11,2014-05-29,,,100120
0845,G373,Határ út M,1,"Határ út M / Gyál, Deák Ferenc utca",2013-10-11,,,,100121
0850,V412,Kőbánya-Kispest M,0,Örs vezér tere M+H / Kőbánya-Kispest M,2013-10-12,2014-09-05,,,100122
0850,V411,Örs vezér tere M+H,1,Örs vezér tere M+H / Kőbánya-Kispest M,2013-10-12,2014-09-05,,,100123
0855,U253,Kőbánya-Kispest M,0,Örs vezér tere M+H / Kőbánya-Kispest M,2013-10-11,2014-05-11,,,100124
0855,U254,Örs vezér tere M+H,1,Örs vezér tere M+H / Kőbánya-Kispest M,2013-10-11,2014-05-11,,,100125
0858,R489,Mádi utca,0,Dél-pesti autóbuszgarázs / Örs vezér tere M+H,2013-10-11,,,,100126
0860,S806,"Óbuda, Bogdáni út",0,"Újbuda, Függetlenségi park / Óbuda, Bogdáni út",2013-10-11,2014-04-28,,,100127
0860,S807,"Újbuda, Függetlenségi park",1,"Újbuda, Függetlenségi park / Óbuda, Bogdáni út",2013-10-11,2014-04-28,,,100128
0870,S189,Mechanikai Művek,0,Kosztolányi Dezső tér / Mechanikai Művek,2013-10-11,2014-04-06,,,100129
0870,S190,Kosztolányi Dezső tér,1,Kosztolányi Dezső tér / Mechanikai Művek,2013-10-11,2014-04-06,,,100130
0871,H323,Kamaraerdő,0,Kosztolányi Dezső tér / Kamaraerdő,2013-10-11,,,,100131
0871,H324,Kosztolányi Dezső tér,1,Kosztolányi Dezső tér / Kamaraerdő,2013-10-11,,,,100132
0880,0730,"Törökbálint, Munkácsy Mihály utca",0,"Kamaraerdő / Törökbálint, Munkácsy Mihály utca",2013-10-11,2014-03-30,,,100133
0880,0729,Kamaraerdő,1,"Kamaraerdő / Törökbálint, Munkácsy Mihály utca",2013-10-11,2014-03-30,,,100134
0895,G413,"Gyál, Bem József utca",0,"Határ út M / Gyál, Bem József utca",2013-10-11,,,,100135
0895,G414,Határ út M,1,"Határ út M / Gyál, Bem József utca",2013-10-11,2014-05-29,,,100136
0910,R706,Nyugati pályaudvar M,0,Széll Kálmán tér M / Nyugati pályaudvar M,2013-10-11,2013-10-24,,,100137
0910,R707,Széll Kálmán tér M,1,Széll Kálmán tér M / Nyugati pályaudvar M,2013-10-11,2013-10-24,,,100138
0920,O287,Auchan Liget,0,"Rákosszentmihály vasútállomás / Kistarcsa, kórház H",2013-10-12,2013-11-02,,,100139
0920,6832,Rákosszentmihály vasútállomás,1,"Rákosszentmihály vasútállomás / Kistarcsa, kórház H",2013-10-12,2013-11-02,,,100140
0930,V129,Szemeretelep vasútállomás,0,Kőbánya-Kispest M / Szemeretelep vasútállomás,2013-10-11,,,,100141
0930,V130,Kőbánya-Kispest M,1,Kőbánya-Kispest M / Szemeretelep vasútállomás,2013-10-11,2014-06-29,,,100142
0931,V126,"Pestszentlőrinc, Fedezék utca",0,"Kőbánya-Kispest M / Pestszentlőrinc, Fedezék utca",2013-10-12,,,,100143
0931,V127,Kőbánya-Kispest M,1,"Kőbánya-Kispest M / Pestszentlőrinc, Fedezék utca",2013-10-12,2014-07-04,,,100144
0945,G429,"Gyál, Vecsési út",0,"Határ út M / Gyál, Vecsési út",2013-10-11,2014-05-29,,,100145
0945,G430,Határ út M,1,"Határ út M / Gyál, Vecsési út",2013-10-14,2014-05-29,,,100146
0950,S962,Felsőcsatári köz,0,Puskás Ferenc Stadion M / Felsőcsatári köz,2013-10-11,,,,100147
0950,S963,Puskás Ferenc Stadion M,1,Puskás Ferenc Stadion M / Felsőcsatári köz,2013-10-11,,,,100148
0960,H442,"Újpest, Fóti út",0,"Újpalota, Szentmihályi út / Újpest, Fóti út",2013-10-11,,,,100149
0960,H443,"Újpalota, Szentmihályi út",1,"Újpalota, Szentmihályi út / Újpest, Fóti út",2013-10-11,,,,100150
0975,P541,Erzsébet körút,0,Örs vezér tere M+H / Rákoskert sugárút,2013-10-11,2014-04-28,,,100151
0975,P540,"Rákoskeresztúr, vkp. (metró felé)",1,Örs vezér tere M+H / Rákoskert sugárút,2013-10-11,2013-11-21,,,100152
0980,N933,Városközpont (Ferihegyi út),0,Kőbánya-Kispest M / Rákoscsaba vasútállomás,2013-10-11,2014-02-02,,,100153
0980,N934,Kőbánya-Kispest M,1,Kőbánya-Kispest M / Rákoscsaba vasútállomás,2013-10-11,2013-12-22,,,100154
0985,N936,Rákoshegy vasútállomás,0,Kőbánya-Kispest M / Rákoshegy vasútállomás,2013-10-11,2014-02-02,,,100155
0985,N937,Kőbánya-Kispest M,1,Kőbánya-Kispest M / Rákoshegy vasútállomás,2013-10-11,2014-02-02,,,100156
0990,E025,"Pesterzsébet, Mátyás király tér",0,"Blaha Lujza tér M / Pesterzsébet, Mátyás király tér",2013-10-11,,,,100157
0990,5184,Blaha Lujza tér M,1,"Blaha Lujza tér M / Pesterzsébet, Mátyás király tér",2013-10-11,,,,100158
1000,S733,Örs vezér tere M+H,0,Örs vezér tere M+H / Örs vezér tere M+H,2013-10-12,,,,100159
1020,Q457,Szendrő utca,0,Szendrő utca / Széll Kálmán tér M,2013-10-11,2013-12-05,,,100160
1020,Q456,Széll Kálmán tér M,1,Szendrő utca / Széll Kálmán tér M,2013-10-11,2014-10-09,,,100161
1030,U959,Népliget M,0,Kelenföld vasútállomás / Népliget M,2013-10-11,2014-04-10,,,100162
1030,U960,Kelenföld vasútállomás,1,Kelenföld vasútállomás / Népliget M,2013-10-11,2014-04-10,,,100163
1040,U209,"Dunakeszi, Auchan áruház",0,"Rákospalota, Kossuth utca / Dunakeszi, Auchan áruház",2013-10-11,,,,100164
1040,U210,"Rákospalota, Kossuth utca",1,"Rákospalota, Kossuth utca / Dunakeszi, Auchan áruház",2013-10-11,,,,100165
1041,U215,"Székesdűlő, ipartelep",0,"Rákospalota, Kossuth utca / Székesdűlő, ipartelep",2013-10-27,,,,100166
1041,U216,"Rákospalota, Kossuth utca",1,"Rákospalota, Kossuth utca / Székesdűlő, ipartelep",2013-10-27,,,,100167
1050,O096,Gyöngyösi utca M,0,Apor Vilmos tér / Gyöngyösi utca M,2013-10-11,2014-03-06,,,100168
1050,X234,Apor Vilmos tér,1,Apor Vilmos tér / Gyöngyösi utca M,2013-10-11,2013-12-15,,,100169
1060,X379,"Római úti lakótelep, Varsa utca",0,"Árpád híd M / Római úti lakótelep, Varsa utca",2013-10-11,2013-12-22,,,100170
1060,X380,Árpád híd M,1,"Árpád híd M / Római úti lakótelep, Varsa utca",2013-10-11,2013-12-22,,,100171
1075,U711,"Újpalota, Nyírpalota út",0,"Kelenföld vasútállomás / Újpalota, Nyírpalota út",2013-10-11,,,,100172
1075,U712,Kelenföld vasútállomás,1,"Kelenföld vasútállomás / Újpalota, Nyírpalota út",2013-10-11,,,,100173
1110,U007,Kolosy tér,0,Batthyány tér M+H / Kolosy tér,2013-10-11,2014-11-06,,,100174
1110,T395,Batthyány tér M+H,1,Batthyány tér M+H / Kolosy tér,2013-10-11,2014-11-06,,,100175
1120,J699,Szendrő utca,0,Uránia / Szendrő utca,2013-10-11,2014-03-30,,,100176
1120,J698,Uránia,1,Uránia / Szendrő utca,2013-10-11,2014-03-30,,,100177
1130,B957,"Diósd, Sashegyi út",0,"Budatétény vasútállomás (Campona) / Diósd, Sashegyi út",2013-10-12,2014-10-03,,,100178
1130,B958,Budatétény vasútállomás (Campona),1,"Budatétény vasútállomás (Campona) / Diósd, Sashegyi út",2013-10-12,2014-10-03,,,100179
1131,B964,"Nagytétény, Angeli utca",0,"Budatétény vasútállomás (Campona) / Nagytétény, Angeli utca",2013-10-11,2014-05-22,,,100180
1131,B965,Budatétény vasútállomás (Campona),1,"Budatétény vasútállomás (Campona) / Nagytétény, Angeli utca",2013-10-11,,,,100181
1140,Q350,"Baross Gábor-telep, Ispiláng utca",0,"Kosztolányi Dezső tér / Baross Gábor-telep, Ispiláng utca",2013-10-14,2014-06-19,,,100182
1140,U742,Kosztolányi Dezső tér,1,"Kosztolányi Dezső tér / Baross Gábor-telep, Ispiláng utca",2013-10-14,2014-04-06,,,100183
1150,U156,Árpád híd M,0,Boráros tér H / Árpád híd M,2013-10-12,2014-05-18,,,100184
1150,U157,Boráros tér H,1,Boráros tér H / Árpád híd M,2013-10-12,2013-11-07,,,100185
1160,U171,Fény utcai piac,0,Dísz tér / Fény utcai piac,2013-10-11,2014-03-13,,,100186
1160,U172,Dísz tér,1,Dísz tér / Fény utcai piac,2013-10-11,2014-03-13,,,100187
1170,T862,Mélytó utca,0,Kőbánya alsó vasútállomás / Mélytó utca,2013-10-11,2014-06-19,,,100188
1170,T863,Kőbánya alsó vasútállomás,1,Kőbánya alsó vasútállomás / Mélytó utca,2013-10-11,2014-10-26,,,100189
1180,W679,Óbudai autóbuszgarázs,0,Szentlélek tér H / Óbudai autóbuszgarázs,2013-10-11,2014-11-27,,,100190
1180,W678,Szentlélek tér H,1,Szentlélek tér H / Óbudai autóbuszgarázs,2013-10-11,2014-11-30,,,100191
1190,K779,Zodony utca,0,Gubacsi út / Zodony utca,2013-10-11,,,,100192
1190,K780,Gubacsi út,1,Gubacsi út / Zodony utca,2013-10-11,,,,100193
1200,0506,Újpest-Központ M,0,Árpád híd M / Újpest-Központ M,2013-10-11,2014-02-06,,,100194
1200,D960,Árpád híd M,1,Árpád híd M / Újpest-Központ M,2013-10-11,2014-02-06,,,100195
1210,0803,Rákospalota-Újpest vasútállomás,0,Rákospalota-Újpest vasútállomás / Újpest-Városkapu M,2013-10-11,,,,100196
1210,0802,Újpest-Városkapu M,1,Rákospalota-Újpest vasútállomás / Újpest-Városkapu M,2013-10-11,,,,100197
1220,S089,"Káposztásmegyer, Mogyoródi-patak",0,"Újpest-Városkapu M / Káposztásmegyer, Mogyoródi-patak",2013-10-11,2014-09-14,,,100198
1220,S091,Újpest-Városkapu M,1,"Újpest-Városkapu M / Káposztásmegyer, Mogyoródi-patak",2013-10-11,2014-09-14,,,100199
1230,R328,"Soroksár, Auchan áruház",0,"Határ út M / Soroksár, Auchan áruház",2013-10-11,2014-01-02,,,100200
1230,T031,Határ út M,1,"Határ út M / Soroksár, Auchan áruház",2013-10-11,,,,100201
1231,J597,Szentlőrinci úti lakótelep,0,Határ út M / Szentlőrinci úti lakótelep,2013-10-14,,,,100202
1231,T032,Határ út M,1,Határ út M / Szentlőrinci úti lakótelep,2013-10-14,,,,100203
1240,H424,"Rákospalota, Bogáncs utca",0,"Bosnyák tér / Rákospalota, Bogáncs utca",2013-10-11,,,,100204
1240,H425,Bosnyák tér,1,"Bosnyák tér / Rákospalota, Bogáncs utca",2013-10-11,,,,100205
1250,H428,"Rákospalota, MEDIMPEX",0,"Bosnyák tér / Rákospalota, MEDIMPEX",2013-10-11,2014-06-29,,,100206
1250,J367,Bosnyák tér,1,"Bosnyák tér / Rákospalota, MEDIMPEX",2013-10-11,2014-06-29,,,100207
1260,D604,"Dunakeszi, Auchan áruház",0,"Káposztásmegyer, Szilas-patak / Dunakeszi, Auchan áruház",2013-10-12,2014-09-19,,,100208
1260,D605,"Káposztásmegyer, Szilas-patak",1,"Káposztásmegyer, Szilas-patak / Dunakeszi, Auchan áruház",2013-10-12,2014-09-19,,,100209
1261,D610,"Káposztásmegyer, Mogyoródi-patak",0,"Káposztásmegyer, Szilas-patak / Káposztásmegyer, Mogyoródi-patak",2013-10-27,2014-11-01,,,100210
1261,D611,"Káposztásmegyer, Szilas-patak",1,"Káposztásmegyer, Szilas-patak / Káposztásmegyer, Mogyoródi-patak",2013-10-27,2014-11-01,,,100211
1280,J086,Városkúti út,0,Széll Kálmán tér M / Városkúti út,2013-10-17,2014-02-06,,,100212
1280,J087,Széll Kálmán tér M,1,Széll Kálmán tér M / Városkúti út,2013-10-11,2014-07-24,,,100213
1290,K028,Széher út,0,Széll Kálmán tér M / Széher út,2013-10-11,2013-10-24,,,100214
1290,K029,Széll Kálmán tér M,1,Széll Kálmán tér M / Széher út,2013-10-11,2013-10-24,,,100215
1300,L803,"Újpalota, Sárfű utca",0,"Puskás Ferenc Stadion M / Újpalota, Sárfű utca",2013-10-11,,,,100216
1300,L804,Puskás Ferenc Stadion M,1,"Puskás Ferenc Stadion M / Újpalota, Sárfű utca",2013-10-11,,,,100217
1310,N504,"Kisszentmihály, Baross utca",0,"Örs vezér tere M+H / Kisszentmihály, Baross utca",2013-10-11,2013-11-14,,,100218
