route_id,agency_id,route_short_name,route_type,route_color,route_text_color
MP52,BKK,M2,3,1188FF,000000
MP52,BKK,M2,3,1188FF,000000
MP525,BKK,M2E,3,1188FF,000000
MP525,BKK,M2E,3,1188FF,000000
VP01,BKK,1V,3,1188FF,000000
VP01,BKK,1V,3,1188FF,000000
VP02,BKK,2V,3,1188FF,000000
VP02,BKK,2V,3,1188FF,000000
VP06,BKK,6V,3,1188FF,000000
VP06,BKK,6V,3,1188FF,000000
VP101,BKK,101V,3,1188FF,000000
VP101,BKK,101V,3,1188FF,000000
VP42,BKK,42V,3,1188FF,000000
VP42,BKK,42V,3,1188FF,000000
VP61,BKK,61V,3,1188FF,000000
VP61,BKK,61V,3,1188FF,000000
0050,BKK,5,3,1188FF,000000
0050,BKK,5,3,1188FF,000000
0070,BKK,7,3,1188FF,000000
0070,BKK,7,3,1188FF,000000
0071,BKK,7A,3,1188FF,000000
0071,BKK,7A,3,1188FF,000000
0075,BKK,7E,3,1188FF,000000
0075,BKK,7E,3,1188FF,000000
0078,BKK,7,3,1188FF,000000
0080,BKK,8,3,1188FF,000000
0080,BKK,8,3,1188FF,000000
0090,BKK,9,3,1188FF,000000
0090,BKK,9,3,1188FF,000000
0110,BKK,11,3,1188FF,000000
0110,BKK,11,3,1188FF,000000
0130,BKK,13,3,1188FF,000000
0130,BKK,13,3,1188FF,000000
0131,BKK,13A,3,1188FF,000000
0131,BKK,13A,3,1188FF,000000
0150,BKK,15,3,1188FF,000000
0150,BKK,15,3,1188FF,000000
0160,BKK,16,3,1188FF,000000
0160,BKK,16,3,1188FF,000000
0161,BKK,16A,3,1188FF,000000
0161,BKK,16A,3,1188FF,000000
0205,BKK,20E,3,1188FF,000000
0205,BKK,20E,3,1188FF,000000
0210,BKK,21,3,1188FF,000000
0210,BKK,21,3,1188FF,000000
0211,BKK,21A,3,1188FF,000000
0211,BKK,21A,3,1188FF,000000
0220,BKK,22,3,1188FF,000000
0220,BKK,22,3,1188FF,000000
0221,BKK,22A,3,1188FF,000000
0221,BKK,22A,3,1188FF,000000
0230,BKK,23,3,1188FF,000000
0230,BKK,23,3,1188FF,000000
0235,BKK,23E,3,1188FF,000000
0235,BKK,23E,3,1188FF,000000
0250,BKK,25,3,1188FF,000000
0250,BKK,25,3,1188FF,000000
0260,BKK,26,3,1188FF,000000
0260,BKK,26,3,1188FF,000000
0270,BKK,27,3,1188FF,000000
0270,BKK,27,3,1188FF,000000
0290,BKK,29,3,1188FF,000000
0290,BKK,29,3,1188FF,000000
0300,BKK,30,3,1188FF,000000
0300,BKK,30,3,1188FF,000000
0301,BKK,30A,3,1188FF,000000
0301,BKK,30A,3,1188FF,000000
0310,BKK,31,3,1188FF,000000
0310,BKK,31,3,1188FF,000000
0320,BKK,32,3,1188FF,000000
0320,BKK,32,3,1188FF,000000
0330,BKK,33,3,1188FF,000000
0330,BKK,33,3,1188FF,000000
0340,BKK,34,3,1188FF,000000
0340,BKK,34,3,1188FF,000000
0350,BKK,35,3,1188FF,000000
0350,BKK,35,3,1188FF,000000
0360,BKK,36,3,1188FF,000000
0360,BKK,36,3,1188FF,000000
0380,BKK,38,3,1188FF,000000
0380,BKK,38,3,1188FF,000000
0390,BKK,39,3,1188FF,000000
0390,BKK,39,3,1188FF,000000
0400,BKK,40,3,1188FF,000000
0400,BKK,40,3,1188FF,000000
0405,BKK,40E,3,1188FF,000000
0405,BKK,40E,3,1188FF,000000
0440,BKK,44,3,1188FF,000000
0440,BKK,44,3,1188FF,000000
0450,BKK,45,3,1188FF,000000
0450,BKK,45,3,1188FF,000000
0460,BKK,46,3,1188FF,000000
0460,BKK,46,3,1188FF,000000
0530,BKK,53,3,1188FF,000000
0530,BKK,53,3,1188FF,000000
0540,BKK,54,3,1188FF,000000
0540,BKK,54,3,1188FF,000000
0550,BKK,55,3,1188FF,000000
0550,BKK,55,3,1188FF,000000
0570,BKK,57,3,1188FF,000000
0580,BKK,58,3,1188FF,000000
0580,BKK,58,3,1188FF,000000
0630,BKK,63,3,1188FF,000000
0630,BKK,63,3,1188FF,000000
0640,BKK,64,3,1188FF,000000
0640,BKK,64,3,1188FF,000000
0641,BKK,64A,3,1188FF,000000
0641,BKK,64A,3,1188FF,000000
0650,BKK,65,3,1188FF,000000
0650,BKK,65,3,1188FF,000000
0660,BKK,66,3,1188FF,000000
0660,BKK,66,3,1188FF,000000
0665,BKK,66E,3,1188FF,000000
0665,BKK,66E,3,1188FF,000000
0670,BKK,67,3,1188FF,000000
0670,BKK,67,3,1188FF,000000
0680,BKK,68,3,1188FF,000000
0680,BKK,68,3,1188FF,000000
0710,BKK,71,3,1188FF,000000
0710,BKK,71,3,1188FF,000000
0845,BKK,84E,3,1188FF,000000
0845,BKK,84E,3,1188FF,000000
0850,BKK,85,3,1188FF,000000
0850,BKK,85,3,1188FF,000000
0855,BKK,85E,3,1188FF,000000
0855,BKK,85E,3,1188FF,000000
0858,BKK,85,3,1188FF,000000
0860,BKK,86,3,1188FF,000000
0860,BKK,86,3,1188FF,000000
0870,BKK,87,3,1188FF,000000
0870,BKK,87,3,1188FF,000000
0871,BKK,87A,3,1188FF,000000
0871,BKK,87A,3,1188FF,000000
0880,BKK,88,3,1188FF,000000
0880,BKK,88,3,1188FF,000000
0895,BKK,89E,3,1188FF,000000
0895,BKK,89E,3,1188FF,000000
0910,BKK,91,3,1188FF,000000
0910,BKK,91,3,1188FF,000000
0920,BKK,92,3,1188FF,000000
0920,BKK,92,3,1188FF,000000
0930,BKK,93,3,1188FF,000000
0930,BKK,93,3,1188FF,000000
0931,BKK,93A,3,1188FF,000000
0931,BKK,93A,3,1188FF,000000
0945,BKK,94E,3,1188FF,000000
0945,BKK,94E,3,1188FF,000000
0950,BKK,95,3,1188FF,000000
0950,BKK,95,3,1188FF,000000
