service_id,date,exception_type
51696,20250614,1
51696,20250615,1
51696,20250616,1
51696,20250617,1
51697,20250519,1
51697,20250520,1
51697,20250521,1
51697,20250526,1
51697,20250527,1
51697,20250528,1
51697,20250529,1
51697,20250530,1
51697,20250602,1
51697,20250603,1
51697,20250604,1
51697,20250605,1
51697,20250606,1
51697,20250610,1
51697,20250611,1
51697,20250612,1
51697,20250613,1
51697,20250616,1
51697,20250617,1
51698,20250522,1
51698,20250523,1
51699,20250522,1
51699,20250523,1
51699,20250524,1
51699,20250525,1
51700,20250524,1
51700,20250525,1
51701,20250524,1
51701,20250531,1
51701,20250607,1
51701,20250614,1
51702,20250530,1
51702,20250602,1
51702,20250603,1
51702,20250604,1
51702,20250605,1
51702,20250606,1
51702,20250610,1
51702,20250611,1
51702,20250612,1
51702,20250613,1
51702,20250616,1
51702,20250617,1
51703,20250531,1
51703,20250601,1
51704,20250531,1
51704,20250601,1
51704,20250607,1
51704,20250608,1
51704,20250609,1
51704,20250614,1
51704,20250615,1
C04183AHPMAA-011,20250517,1
C04183AHPMAA-011,20250519,1
C04183AHPMAA-011,20250520,1
C04183AHPMAA-011,20250521,1
C04183AHPMAA-011,20250522,1
C04183AHPMAA-011,20250523,1
C04183AHPMAA-011,20250526,1
C04183AHPMAA-011,20250527,1
C04183AHPMAA-011,20250528,1
C04183AHPMAA-011,20250529,1
C04183AHPMAA-011,20250530,1
C04183AHPMAA-011,20250602,1
C04183AHPMAA-011,20250603,1
C04183AHPMAA-011,20250604,1
C04183AHPMAA-011,20250605,1
C04183AHPMAA-011,20250606,1
C04183AHPMAA-011,20250610,1
C04183AHPMAA-011,20250611,1
C04183AHPMAA-011,20250612,1
C04183AHPMAA-011,20250613,1
C04183AHPMAA-011,20250616,1
C04183AHPMAA-011,20250617,1
C04183AHPMAA-011,20250618,1
C04183AHPMAA-011,20250619,1
C04183AHPMAA-011,20250620,1
C04183AHPMAA-011,20250623,1
C04183AHPMAA-011,20250624,1
C04183AHPMAA-011,20250625,1
C04183AHPMAA-011,20250626,1
C04183AHPMAA-011,20250627,1
C04183AHPMAA-011,20250630,1
C04183AHPMAA-011,20250701,1
C04184ASVMAA-011,20250518,1
C04184ASVMAA-011,20250524,1
C04184ASVMAA-011,20250525,1
C04184ASVMAA-011,20250531,1
C04184ASVMAA-011,20250601,1
C04184ASVMAA-011,20250607,1
C04184ASVMAA-011,20250608,1
C04184ASVMAA-011,20250609,1
C04184ASVMAA-011,20250614,1
C04184ASVMAA-011,20250615,1
C04184ASVMAA-011,20250621,1
C04184ASVMAA-011,20250622,1
C04184ASVMAA-011,20250628,1
C04184ASVMAA-011,20250629,1
C11388ASZHK-0011,20250524,1
C11388ASZHK-0011,20250531,1
C11388ASZHK-0011,20250607,1
C11388ASZHK-0011,20250614,1
C11388ASZHK-0011,20250621,1
C11388ASZHK-0011,20250628,1
C23867AHCKMK-011,20250519,1
C23867AHCKMK-011,20250520,1
C23867AHCKMK-011,20250521,1
C23867AHCKMK-011,20250526,1
C23867AHCKMK-011,20250527,1
C23867AHCKMK-011,20250528,1
C23867AHCKMK-011,20250529,1
C23868APPKMK-011,20250530,1
C23869ASZKMK-011,20250531,1
C23870AVVKMK-011,20250518,1
C27965ASZKMK-011,20250524,1
C27965ASZKMK-011,20250531,1
C27965ASZKMK-011,20250607,1
C27965ASZKMK-011,20250614,1
C27965ASZKMK-011,20250621,1
C27965ASZKMK-011,20250628,1
C27966AVVKMK-011,20250518,1
C27966AVVKMK-011,20250525,1
